Date/Time,Location/Region,Energy Source,Energy Demand,Energy Consumption (kWh),Energy Price,Operational Costs,Energy Production (kWh)
28/01/2012,Region A,Fossil Fuels,2832,40143,0.185805978,2802.4937,45571
29/01/2012,Region C,Fossil Fuels,42368,31149,0.111420611,2695.599008,29556
30/01/2012,Region B,Renewables,89425,30996,0.192960915,3036.846341,17868
31/01/2012,Region C,Renewables,70715,21137,0.179814411,4780.202214,29716
01/02/2012,Region A,Renewables,72835,41924,0.094475236,3192.815091,3719
02/02/2012,Region B,Fossil Fuels,74366,39515,0.073892456,4812.710153,24350
03/02/2012,Region C,Renewables,38570,6677,0.115308409,1721.160522,37324
04/02/2012,Region A,Renewables,88977,7769,0.110284806,3896.543915,4083
05/02/2012,Region C,Renewables,7615,15474,0.136357896,4248.958154,5491
06/02/2012,Region C,Renewables,73298,14537,0.137507935,3716.515325,24012
07/02/2012,Region B,Fossil Fuels,39311,19256,0.162498048,3427.689121,40918
08/02/2012,Region A,Fossil Fuels,91245,16667,0.126483492,3259.251124,29402
09/02/2012,Region C,Renewables,24434,23718,0.065723396,4443.72193,18340
10/02/2012,Region C,Fossil Fuels,87879,25667,0.1787437,4286.586389,36629
11/02/2012,Region B,Renewables,16739,43648,0.096464687,1489.154885,6719
12/02/2012,Region C,Renewables,67202,7117,0.195694619,4394.350628,23077
13/02/2012,Region A,Renewables,99580,22034,0.067679016,2656.274478,18476
14/02/2012,Region C,Fossil Fuels,94419,25959,0.193737676,2014.78732,43644
15/02/2012,Region B,Renewables,80599,21042,0.063651771,4479.074272,10552
16/02/2012,Region B,Renewables,34649,803,0.084655421,2728.099199,16812
17/02/2012,Region B,Fossil Fuels,48445,30256,0.056986991,4233.458761,9975
18/02/2012,Region C,Fossil Fuels,40470,13183,0.155766972,2053.614448,41470
19/02/2012,Region B,Renewables,75965,49985,0.17754481,1015.717286,2867
20/02/2012,Region A,Fossil Fuels,49621,33195,0.115110662,2981.836772,32278
21/02/2012,Region A,Renewables,33926,11525,0.189278311,1400.913027,27239
22/02/2012,Region C,Fossil Fuels,38997,21390,0.138544861,4017.503822,35547
23/02/2012,Region C,Renewables,60940,19215,0.14450107,2104.300544,30610
24/02/2012,Region A,Renewables,41724,5061,0.17681288,2774.582586,19102
25/02/2012,Region A,Renewables,98805,33347,0.094520031,1348.13426,1500
26/02/2012,Region A,Renewables,32704,37031,0.103139858,2146.636994,37614
27/02/2012,Region A,Fossil Fuels,29391,27907,0.185892788,4125.960973,35641
28/02/2012,Region A,Fossil Fuels,64291,22080,0.185144524,1606.351648,45513
29/02/2012,Region A,Fossil Fuels,90723,10669,0.196472416,3588.638245,3848
01/03/2012,Region A,Renewables,3526,17616,0.185275747,4669.703411,34090
02/03/2012,Region B,Renewables,25686,37244,0.069105805,3719.347039,11901
03/03/2012,Region A,Fossil Fuels,74339,22543,0.173558643,4244.086757,30578
04/03/2012,Region A,Renewables,99204,2624,0.111475772,1435.886517,28225
05/03/2012,Region A,Fossil Fuels,7574,39920,0.198620203,2002.927304,42309
06/03/2012,Region C,Renewables,9733,38551,0.120842145,4578.155409,18652
07/03/2012,Region C,Renewables,51290,7676,0.133075412,3860.422454,25300
08/03/2012,Region B,Renewables,73793,26274,0.129466237,3558.215306,13474
09/03/2012,Region C,Fossil Fuels,37051,19176,0.098260554,3655.066944,23995
10/03/2012,Region B,Fossil Fuels,16909,45677,0.061253313,2656.802217,25171
11/03/2012,Region C,Fossil Fuels,90682,25260,0.184347685,1178.226526,33853
12/03/2012,Region C,Renewables,78338,45587,0.170401372,4137.766168,12757
13/03/2012,Region C,Fossil Fuels,74432,1497,0.070929017,3714.852945,7908
14/03/2012,Region C,Renewables,29133,44269,0.166515241,2891.217856,48558
15/03/2012,Region B,Renewables,52571,37932,0.143877,4599.038461,18629
16/03/2012,Region A,Fossil Fuels,80062,13617,0.111371568,2344.63866,6637
17/03/2012,Region B,Renewables,51908,11731,0.088103172,2177.286977,15832
18/03/2012,Region A,Fossil Fuels,12278,30251,0.178959318,4491.1853,35034
19/03/2012,Region C,Renewables,52458,7940,0.155028239,4187.950619,27152
20/03/2012,Region C,Renewables,65265,20411,0.132160986,3059.919243,31015
21/03/2012,Region A,Fossil Fuels,57782,44486,0.14143528,1522.938958,9906
22/03/2012,Region A,Fossil Fuels,56415,16108,0.063659927,1860.285886,42047
23/03/2012,Region A,Renewables,92087,30165,0.121087964,3624.911962,29566
24/03/2012,Region C,Renewables,55160,27657,0.079055044,2540.164951,43848
25/03/2012,Region B,Renewables,55399,29279,0.081257552,4345.892767,39500
26/03/2012,Region A,Fossil Fuels,26298,30468,0.149195594,4799.820037,10796
27/03/2012,Region B,Fossil Fuels,23191,27887,0.186688423,4222.547701,1978
28/03/2012,Region C,Fossil Fuels,57964,4590,0.110563492,2510.181692,36119
29/03/2012,Region A,Fossil Fuels,34092,25445,0.081162391,4154.745717,16825
30/03/2012,Region B,Fossil Fuels,90407,40739,0.147312041,2405.766694,10580
31/03/2012,Region C,Fossil Fuels,76257,4243,0.180678057,1668.400351,23506
01/04/2012,Region C,Fossil Fuels,63513,31424,0.16224782,1133.572819,43716
02/04/2012,Region B,Renewables,52097,10696,0.180313585,2542.866851,10767
03/04/2012,Region B,Renewables,31279,26779,0.130483201,4614.237215,31656
04/04/2012,Region C,Renewables,15404,40276,0.162781437,1955.946351,38430
05/04/2012,Region A,Renewables,71022,3824,0.071009684,1826.05266,9979
06/04/2012,Region C,Fossil Fuels,36198,41900,0.102241192,4879.283141,39423
07/04/2012,Region B,Fossil Fuels,95223,20141,0.108432375,1100.016451,18387
08/04/2012,Region C,Renewables,50997,27982,0.126694362,4143.128602,24533
09/04/2012,Region A,Renewables,79692,33494,0.189361454,2285.479823,23570
10/04/2012,Region C,Renewables,1567,15363,0.181144484,1149.951827,34687
11/04/2012,Region A,Renewables,62032,49295,0.070178824,4671.210161,4775
12/04/2012,Region B,Renewables,3179,37986,0.075918448,1558.569321,13719
13/04/2012,Region A,Fossil Fuels,3019,38940,0.103646082,3207.117135,10402
14/04/2012,Region A,Fossil Fuels,82455,24611,0.09361158,2096.21683,46263
15/04/2012,Region C,Renewables,86239,48530,0.142215643,1260.771209,34860
16/04/2012,Region A,Fossil Fuels,19704,3699,0.185416407,1199.689943,42954
17/04/2012,Region A,Renewables,19030,38538,0.194343731,1462.226795,10940
18/04/2012,Region C,Fossil Fuels,70445,46018,0.148040443,1285.468056,21970
19/04/2012,Region A,Renewables,74551,8397,0.17572388,4042.232462,29630
20/04/2012,Region C,Fossil Fuels,4420,41932,0.12878033,2942.264809,45340
21/04/2012,Region B,Fossil Fuels,60875,15392,0.081249042,2371.568365,7390
22/04/2012,Region A,Renewables,48653,8771,0.128703262,2673.475641,47545
23/04/2012,Region A,Fossil Fuels,17740,38426,0.13326239,4715.786942,31409
24/04/2012,Region C,Renewables,66263,25315,0.161368635,4643.007251,18201
25/04/2012,Region C,Fossil Fuels,96864,46112,0.082982448,3862.70592,28529
26/04/2012,Region A,Fossil Fuels,65559,33857,0.105246557,4538.72951,38744
27/04/2012,Region C,Renewables,20465,10052,0.10460412,2278.59211,45967
28/04/2012,Region C,Renewables,52432,16767,0.193915939,2524.437304,29445
29/04/2012,Region A,Renewables,5131,18768,0.116591744,3454.848727,29847
30/04/2012,Region C,Renewables,11652,49427,0.163264095,3494.503789,23360
01/05/2012,Region C,Renewables,65973,14763,0.162621707,2926.799352,7447
02/05/2012,Region C,Renewables,88043,5899,0.089831628,2602.631394,21906
03/05/2012,Region B,Renewables,48147,30311,0.135780453,4944.721246,6815
04/05/2012,Region C,Fossil Fuels,48671,29506,0.184145434,4284.494504,22306
05/05/2012,Region A,Fossil Fuels,90342,41771,0.121279658,2739.920792,49413
06/05/2012,Region C,Renewables,20171,1576,0.191767626,3909.169909,24867
07/05/2012,Region C,Fossil Fuels,87129,7735,0.082168734,2078.246773,2856
08/05/2012,Region B,Fossil Fuels,56692,23721,0.061123866,1400.677305,32519
09/05/2012,Region C,Renewables,59541,16917,0.183718081,2409.724102,30128
10/05/2012,Region B,Renewables,10470,33039,0.17715218,2611.8912,12976
11/05/2012,Region C,Renewables,62344,35109,0.198888481,1066.148498,43571
12/05/2012,Region C,Fossil Fuels,45308,37749,0.151909023,4259.168007,32685
13/05/2012,Region B,Renewables,51639,34402,0.190503189,2436.77361,22069
14/05/2012,Region A,Fossil Fuels,22326,24145,0.174042354,3321.672663,47315
15/05/2012,Region A,Fossil Fuels,5597,22182,0.17666395,1295.852749,3914
16/05/2012,Region A,Fossil Fuels,31788,46407,0.135371236,1699.987315,14242
17/05/2012,Region C,Fossil Fuels,66020,23901,0.10735469,4558.774901,40951
18/05/2012,Region B,Fossil Fuels,50477,8271,0.190183711,3434.750112,2429
19/05/2012,Region C,Fossil Fuels,34071,41835,0.114817576,4801.136201,18727
20/05/2012,Region B,Renewables,71603,9415,0.130822905,4995.000138,32117
21/05/2012,Region C,Renewables,62923,14398,0.116917146,2487.440461,24696
22/05/2012,Region A,Fossil Fuels,71560,2413,0.134722747,2195.212256,28955
23/05/2012,Region C,Fossil Fuels,74251,37565,0.120575762,4433.424221,19088
24/05/2012,Region C,Fossil Fuels,58492,27568,0.057195134,4994.445708,22215
25/05/2012,Region B,Renewables,32770,2442,0.182307228,3518.564937,36885
26/05/2012,Region B,Renewables,77762,20888,0.116659073,4180.56289,12051
27/05/2012,Region B,Renewables,36399,18215,0.138341547,4126.983435,37684
28/05/2012,Region C,Fossil Fuels,79948,837,0.07087817,2421.358833,26374
29/05/2012,Region B,Renewables,58439,47524,0.050508177,3297.081521,10423
30/05/2012,Region B,Renewables,45415,23950,0.086793514,4332.227765,21736
31/05/2012,Region B,Renewables,13569,10557,0.155687905,3752.455505,6923
01/06/2012,Region C,Renewables,3369,28213,0.06487918,1084.655256,3861
02/06/2012,Region B,Renewables,98557,9483,0.186333116,2346.822676,41657
03/06/2012,Region C,Fossil Fuels,1528,20495,0.082253385,1577.902786,37299
04/06/2012,Region B,Fossil Fuels,31314,49551,0.080689042,1931.888848,39895
05/06/2012,Region C,Renewables,19047,36968,0.077226194,4621.95791,29251
06/06/2012,Region A,Fossil Fuels,20748,26592,0.052097257,1147.573156,17161
07/06/2012,Region C,Renewables,36109,12645,0.16577082,1879.202848,16707
08/06/2012,Region C,Fossil Fuels,14919,39386,0.18125518,2238.277409,35614
09/06/2012,Region A,Renewables,48498,23989,0.142124405,3467.536288,20405
10/06/2012,Region B,Renewables,56808,31536,0.078229997,3136.40676,33056
11/06/2012,Region C,Renewables,81792,30113,0.0927917,1873.077931,12132
12/06/2012,Region C,Fossil Fuels,71441,28984,0.121389005,1656.964269,38632
13/06/2012,Region B,Fossil Fuels,75420,3173,0.193151893,1947.192138,30276
14/06/2012,Region B,Renewables,29906,35390,0.087102706,3010.118507,10245
15/06/2012,Region B,Renewables,72486,12477,0.159746886,2084.711143,34290
16/06/2012,Region B,Fossil Fuels,67896,23966,0.115917233,4790.410006,30567
17/06/2012,Region B,Renewables,22946,41518,0.094677102,2855.460886,46857
18/06/2012,Region A,Fossil Fuels,48020,27509,0.118387391,1235.184066,16010
19/06/2012,Region C,Fossil Fuels,75266,4188,0.060681008,3917.065623,24959
20/06/2012,Region A,Renewables,23161,4248,0.169803106,2315.381153,8364
21/06/2012,Region B,Renewables,28738,39610,0.086495289,3613.955728,41843
22/06/2012,Region C,Fossil Fuels,4925,49543,0.158811818,2118.377482,22019
23/06/2012,Region A,Fossil Fuels,9463,14165,0.060252256,3282.974967,28746
24/06/2012,Region C,Fossil Fuels,58153,37398,0.193264783,4088.610019,37387
25/06/2012,Region A,Renewables,83948,21141,0.078952248,4712.034967,4164
26/06/2012,Region B,Fossil Fuels,62009,33000,0.182411311,2044.508578,5118
27/06/2012,Region A,Renewables,88938,36297,0.171420981,2339.427804,12279
28/06/2012,Region B,Fossil Fuels,92253,19730,0.195178989,2857.065681,8198
29/06/2012,Region A,Renewables,42552,46450,0.121683599,4708.699351,3252
30/06/2012,Region A,Fossil Fuels,57271,25546,0.159109594,4605.547427,22472
01/07/2012,Region B,Renewables,10797,37303,0.105606599,1359.51312,33993
02/07/2012,Region A,Renewables,87130,48395,0.077655236,1527.719303,14665
03/07/2012,Region C,Renewables,72942,36167,0.11646139,2982.036709,26145
04/07/2012,Region B,Renewables,14965,10138,0.074862352,1426.477091,47075
05/07/2012,Region C,Renewables,14733,21327,0.197306693,2382.323493,21159
06/07/2012,Region C,Renewables,54223,21673,0.064436974,1593.541513,9599
07/07/2012,Region C,Renewables,27926,13722,0.138381759,3544.161421,23853
08/07/2012,Region C,Renewables,29783,37510,0.143969578,4797.981727,35692
09/07/2012,Region C,Fossil Fuels,84360,18595,0.130711931,4986.935081,18484
10/07/2012,Region A,Fossil Fuels,37394,1939,0.149327883,2500.96453,5815
11/07/2012,Region A,Renewables,65796,38881,0.067427116,3396.050548,32465
12/07/2012,Region A,Renewables,29287,20514,0.133252779,4425.070614,9457
13/07/2012,Region B,Fossil Fuels,83104,5875,0.093081886,1469.848291,22751
14/07/2012,Region B,Renewables,31436,23987,0.191026409,3758.257644,32863
15/07/2012,Region A,Fossil Fuels,87916,42145,0.164310748,2635.374647,33543
16/07/2012,Region A,Fossil Fuels,91332,26202,0.195877172,1824.584641,27321
17/07/2012,Region B,Renewables,74567,21100,0.05563341,2611.014475,11531
18/07/2012,Region B,Fossil Fuels,88483,2966,0.092769976,1303.841148,19544
19/07/2012,Region C,Renewables,4188,41092,0.079313388,3781.628594,19223
20/07/2012,Region A,Renewables,92205,45597,0.051673188,2010.970675,49876
21/07/2012,Region A,Fossil Fuels,98349,44898,0.08634886,2245.62258,18368
22/07/2012,Region B,Fossil Fuels,7765,47471,0.151816398,1484.325193,48211
23/07/2012,Region B,Fossil Fuels,52626,7428,0.084663338,4458.636456,4734
24/07/2012,Region A,Renewables,89707,22980,0.126350517,2973.777117,12209
25/07/2012,Region C,Renewables,11807,9611,0.183172717,3288.587511,32210
26/07/2012,Region B,Fossil Fuels,11204,41388,0.154063688,3277.730732,31608
27/07/2012,Region C,Renewables,93602,29989,0.10919436,2641.972458,8972
28/07/2012,Region A,Renewables,58944,44332,0.105870341,1770.119662,28158
29/07/2012,Region C,Renewables,43120,9904,0.118360372,3980.530994,1577
30/07/2012,Region A,Fossil Fuels,23658,34139,0.076556216,1508.225061,20563
31/07/2012,Region C,Fossil Fuels,38081,13082,0.145100115,1415.495161,49473
01/08/2012,Region B,Fossil Fuels,35986,1363,0.104622923,3840.58015,35986
02/08/2012,Region B,Fossil Fuels,80322,48151,0.177854802,1835.348082,31970
03/08/2012,Region A,Renewables,95819,45413,0.163482899,2227.091005,21261
04/08/2012,Region B,Renewables,51304,28184,0.141576975,2900.909868,46022
05/08/2012,Region C,Fossil Fuels,66592,3555,0.104630333,2797.405267,3239
06/08/2012,Region C,Renewables,59548,12686,0.081489775,3834.3165,8604
07/08/2012,Region C,Fossil Fuels,99447,3182,0.16642278,3493.727174,46591
08/08/2012,Region A,Renewables,40986,46150,0.122961365,3577.584649,48394
09/08/2012,Region C,Fossil Fuels,75095,38546,0.083712506,3856.217323,14012
10/08/2012,Region C,Fossil Fuels,92594,47073,0.079276192,2170.45091,22453
11/08/2012,Region B,Renewables,89281,22332,0.074810136,2289.333247,22771
12/08/2012,Region A,Fossil Fuels,67151,17497,0.166574179,2751.990992,2789
13/08/2012,Region C,Fossil Fuels,74598,35140,0.084348078,2229.848692,8668
14/08/2012,Region C,Fossil Fuels,29214,11846,0.12899634,4939.751476,42826
15/08/2012,Region B,Renewables,39745,40991,0.117731954,4256.207706,34512
16/08/2012,Region A,Renewables,43548,47139,0.136941635,1658.618753,25404
17/08/2012,Region A,Renewables,11681,49214,0.181573235,1022.376624,22935
18/08/2012,Region B,Fossil Fuels,7984,7689,0.180162109,1171.133073,31344
19/08/2012,Region B,Renewables,28579,46020,0.117661411,1976.253804,38718
20/08/2012,Region B,Fossil Fuels,91810,44833,0.052304938,1457.165143,31647
21/08/2012,Region B,Fossil Fuels,55933,22270,0.113966571,3133.35246,44574
22/08/2012,Region A,Renewables,28399,40210,0.140929031,4431.980891,11480
23/08/2012,Region A,Fossil Fuels,32481,47998,0.133664714,3947.000884,48772
24/08/2012,Region C,Renewables,1944,44651,0.147700416,1862.436252,30883
25/08/2012,Region C,Fossil Fuels,94993,744,0.07311136,2597.197024,35233
26/08/2012,Region C,Fossil Fuels,10114,33288,0.146980265,3031.576838,46379
27/08/2012,Region A,Fossil Fuels,40846,30305,0.077397743,4240.823398,27109
28/08/2012,Region C,Renewables,84666,14417,0.162578597,4356.486412,42519
29/08/2012,Region C,Renewables,78848,46989,0.100863142,4638.873248,11149
30/08/2012,Region B,Renewables,33596,6267,0.156484315,3036.981002,10343
31/08/2012,Region A,Renewables,76287,28890,0.05717984,3777.098986,10260
01/09/2012,Region B,Renewables,7907,10747,0.111179004,1447.201485,35353
02/09/2012,Region C,Fossil Fuels,29114,4015,0.155755178,3261.15584,29325
03/09/2012,Region A,Renewables,26009,35178,0.084030577,1994.767238,6748
04/09/2012,Region B,Renewables,85846,22766,0.169293057,2726.86754,15298
05/09/2012,Region C,Renewables,51241,11250,0.14461696,3536.202033,19791
06/09/2012,Region C,Renewables,36725,30083,0.138134266,2027.943751,25774
07/09/2012,Region A,Fossil Fuels,19996,8576,0.103032328,1208.740231,36198
08/09/2012,Region B,Renewables,7047,18506,0.122367721,1040.935426,8460
09/09/2012,Region C,Fossil Fuels,29767,15551,0.139602395,1088.638142,27045
10/09/2012,Region C,Renewables,17347,4814,0.120869317,1033.39895,1038
11/09/2012,Region A,Renewables,25102,29170,0.154746999,1441.420226,20720
12/09/2012,Region A,Renewables,5263,35721,0.11505454,1957.954858,47459
13/09/2012,Region A,Renewables,68438,2515,0.080340977,1884.886057,10138
14/09/2012,Region C,Fossil Fuels,97359,10736,0.082090067,4947.186377,43317
15/09/2012,Region C,Fossil Fuels,31540,36068,0.050870565,2224.024421,11149
16/09/2012,Region B,Renewables,76726,42291,0.095143657,1509.683133,47150
17/09/2012,Region B,Renewables,64769,45152,0.162337646,3182.250177,12443
18/09/2012,Region C,Renewables,41843,26867,0.169124406,4431.829822,29074
19/09/2012,Region C,Renewables,28690,16852,0.080370131,3712.241507,45813
20/09/2012,Region C,Renewables,3994,46150,0.1938566,2184.328357,41467
21/09/2012,Region A,Renewables,68546,10846,0.125360419,3246.464639,40713
22/09/2012,Region A,Fossil Fuels,8377,25656,0.187546812,3859.423897,39429
23/09/2012,Region B,Renewables,79572,14535,0.156014792,3912.417969,46619
24/09/2012,Region B,Renewables,27467,16608,0.158365013,3666.153821,17432
25/09/2012,Region B,Renewables,1048,3353,0.062756543,4483.241699,27944
26/09/2012,Region A,Fossil Fuels,37978,19120,0.082998669,4480.421833,13121
27/09/2012,Region A,Fossil Fuels,48606,4676,0.051322225,3315.746238,37891
28/09/2012,Region B,Renewables,82574,35423,0.157419146,2719.425476,30056
29/09/2012,Region A,Fossil Fuels,99112,26420,0.101665743,3566.281182,24285
30/09/2012,Region B,Renewables,74414,7329,0.167997877,4272.848005,3660
01/10/2012,Region C,Fossil Fuels,94145,35154,0.100840433,1022.608419,15719
02/10/2012,Region C,Fossil Fuels,50222,39739,0.172900063,4967.988036,34137
03/10/2012,Region A,Fossil Fuels,49115,25630,0.069604738,1731.575089,9211
04/10/2012,Region C,Fossil Fuels,90606,45857,0.076005974,2880.995943,10386
05/10/2012,Region B,Renewables,41647,8891,0.101131481,4488.118939,25112
06/10/2012,Region B,Fossil Fuels,55607,19824,0.111273108,1900.161596,23855
07/10/2012,Region A,Fossil Fuels,58410,46618,0.102305422,2907.180896,35690
08/10/2012,Region B,Renewables,22996,41167,0.164547055,1530.328721,29607
09/10/2012,Region C,Renewables,55921,806,0.064542709,2580.305302,21184
10/10/2012,Region B,Fossil Fuels,84697,36343,0.102682553,1708.541819,47977
11/10/2012,Region C,Renewables,47022,31043,0.175586,2454.510995,29725
12/10/2012,Region A,Renewables,41148,7744,0.060019562,2493.856867,3889
13/10/2012,Region A,Fossil Fuels,68764,7111,0.191351526,4972.683158,15042
14/10/2012,Region B,Fossil Fuels,92901,23206,0.197947526,4979.252117,40778
15/10/2012,Region C,Fossil Fuels,91724,19576,0.063285226,1459.145115,17233
16/10/2012,Region A,Fossil Fuels,9888,47402,0.093690878,3903.875117,34082
17/10/2012,Region B,Fossil Fuels,89666,33543,0.1058601,1206.981919,11783
18/10/2012,Region B,Fossil Fuels,40159,5771,0.166458705,1120.768061,44538
19/10/2012,Region C,Fossil Fuels,43197,7831,0.139389022,1421.335577,44378
20/10/2012,Region C,Fossil Fuels,85326,12053,0.146654855,4861.942628,43597
21/10/2012,Region A,Fossil Fuels,91360,31840,0.163626473,4763.454192,5471
22/10/2012,Region C,Fossil Fuels,99941,12073,0.06769685,1775.711281,24933
23/10/2012,Region C,Renewables,25474,21909,0.174981419,1646.689342,44009
24/10/2012,Region C,Fossil Fuels,18333,20934,0.155842971,1962.140346,1214
25/10/2012,Region C,Fossil Fuels,37355,24964,0.136601259,3062.187976,48661
26/10/2012,Region A,Fossil Fuels,74903,43340,0.1834603,3278.818528,22042
27/10/2012,Region A,Renewables,67258,49285,0.155045953,1886.373722,35984
28/10/2012,Region A,Renewables,32145,21162,0.080254994,4026.491152,39179
29/10/2012,Region B,Renewables,76675,18728,0.114461807,2238.212678,16031
30/10/2012,Region B,Fossil Fuels,50854,49723,0.12410643,4688.525302,22649
31/10/2012,Region B,Renewables,68664,7886,0.058282644,3626.890826,41963
01/11/2012,Region C,Renewables,87153,7362,0.193195627,2745.404777,32476
02/11/2012,Region C,Renewables,94616,40608,0.069286589,4159.648007,22856
03/11/2012,Region A,Renewables,36285,26752,0.15461919,4271.658504,41828
04/11/2012,Region A,Renewables,18533,9987,0.125934655,2161.926422,20747
05/11/2012,Region C,Fossil Fuels,33624,48329,0.053844837,2358.858175,46216
06/11/2012,Region B,Fossil Fuels,47996,40903,0.188712121,4743.820615,26840
07/11/2012,Region B,Renewables,47947,15104,0.177775521,1658.964153,46910
08/11/2012,Region B,Fossil Fuels,28956,17927,0.128638689,1168.601668,47778
09/11/2012,Region B,Renewables,52030,27701,0.08434135,2816.22129,26082
10/11/2012,Region A,Renewables,59597,3542,0.068243434,4204.839601,27001
11/11/2012,Region B,Renewables,43443,10886,0.104508872,4086.672425,7633
12/11/2012,Region B,Fossil Fuels,99613,12192,0.088314242,4678.122516,5552
13/11/2012,Region C,Renewables,66464,15725,0.12600368,3132.802657,25307
14/11/2012,Region C,Renewables,4952,17193,0.194961394,1400.258686,20969
15/11/2012,Region A,Fossil Fuels,57880,7161,0.136243024,3354.755897,45546
16/11/2012,Region B,Renewables,53201,43521,0.183489658,4113.582457,42295
17/11/2012,Region A,Fossil Fuels,43460,18761,0.147631826,1373.312481,25730
18/11/2012,Region B,Renewables,23796,27878,0.121286979,1690.629604,5823
19/11/2012,Region C,Fossil Fuels,32746,21719,0.178191134,1049.162645,1782
20/11/2012,Region B,Renewables,87785,12437,0.120705217,3374.610318,15105
21/11/2012,Region C,Fossil Fuels,1015,1294,0.180294226,4546.937568,16946
22/11/2012,Region A,Renewables,50757,47866,0.093736515,3682.653264,12001
23/11/2012,Region B,Fossil Fuels,26957,7286,0.069321961,4928.16035,17710
24/11/2012,Region A,Fossil Fuels,82541,37282,0.17829717,1252.13461,23831
25/11/2012,Region A,Renewables,22292,40660,0.138112275,4612.004341,24436
26/11/2012,Region A,Fossil Fuels,32876,45813,0.18336386,4256.27315,18114
27/11/2012,Region C,Fossil Fuels,61727,38621,0.190674081,2256.966082,28132
28/11/2012,Region B,Renewables,48046,36675,0.058044259,4894.106207,19130
29/11/2012,Region A,Renewables,15817,27532,0.125145395,2151.750993,16165
30/11/2012,Region C,Fossil Fuels,92006,26927,0.106244682,4557.218895,44301
01/12/2012,Region A,Fossil Fuels,10759,17858,0.14387876,4522.994308,10908
02/12/2012,Region A,Fossil Fuels,49432,30290,0.16903868,4030.630466,4160
03/12/2012,Region C,Fossil Fuels,7412,21121,0.092088532,3253.881895,43353
04/12/2012,Region A,Renewables,58757,49321,0.133519758,1480.010998,41680
05/12/2012,Region A,Renewables,21504,28865,0.156309287,3127.886938,49584
06/12/2012,Region C,Fossil Fuels,9507,13689,0.070164662,2427.185023,4425
07/12/2012,Region A,Renewables,22050,11713,0.172110036,4168.868133,39037
08/12/2012,Region B,Fossil Fuels,5820,7748,0.14091644,4032.516826,2023
09/12/2012,Region A,Fossil Fuels,8835,4869,0.192430616,4642.450029,40678
10/12/2012,Region B,Fossil Fuels,94167,8550,0.100929338,1059.32065,9957
11/12/2012,Region C,Renewables,14587,29105,0.066221891,4236.412867,46819
12/12/2012,Region A,Renewables,58732,38683,0.12597518,4753.848212,38560
13/12/2012,Region B,Fossil Fuels,52921,15898,0.062871616,4157.201796,14446
14/12/2012,Region B,Renewables,46499,41383,0.195428978,1520.777839,45438
15/12/2012,Region B,Renewables,7840,33555,0.055802744,1325.116419,29824
16/12/2012,Region A,Fossil Fuels,66077,3695,0.163025585,1083.380959,5587
17/12/2012,Region B,Renewables,32440,25951,0.12876536,3514.980903,24002
18/12/2012,Region A,Renewables,36183,7950,0.105293098,3518.690607,44708
19/12/2012,Region C,Renewables,97172,3425,0.059876325,4947.654857,36867
20/12/2012,Region C,Renewables,3389,15015,0.143325039,2592.172696,10160
21/12/2012,Region A,Fossil Fuels,56076,5810,0.137783049,2327.62514,33492
22/12/2012,Region A,Fossil Fuels,67299,32317,0.092132491,3497.699709,40019
