Date/Time,Infrastructure Status,Maintenance Activities,Technology Limitations
01/07/2012,Fair,Repairs,Moderate
02/07/2012,Poor,Upgrades,High
03/07/2012,Fair,Upgrades,High
04/07/2012,Poor,Repairs,Moderate
05/07/2012,Fair,Repairs,High
06/07/2012,Poor,Repairs,High
07/07/2012,Poor,Upgrades,High
08/07/2012,Poor,Repairs,High
09/07/2012,Poor,Repairs,High
10/07/2012,Poor,Repairs,High
11/07/2012,Poor,Routine Maintenance,High
12/07/2012,Poor,Repairs,High
13/07/2012,Poor,Repairs,High
14/07/2012,Poor,Repairs,High
15/07/2012,Poor,Routine Maintenance,High
16/07/2012,Fair,Routine Maintenance,High
17/07/2012,Fair,Repairs,Moderate
18/07/2012,Fair,Repairs,High
19/07/2012,Poor,Repairs,High
20/07/2012,Poor,Repairs,High
21/07/2012,Poor,Routine Maintenance,Moderate
22/07/2012,Fair,Repairs,High
23/07/2012,Poor,Routine Maintenance,High
24/07/2012,Poor,Upgrades,Moderate
25/07/2012,Fair,Routine Maintenance,High
26/07/2012,Fair,Upgrades,High
27/07/2012,Poor,Routine Maintenance,High
28/07/2012,Fair,Routine Maintenance,High
29/07/2012,Poor,Routine Maintenance,High
30/07/2012,Poor,Repairs,High
31/07/2012,Poor,Routine Maintenance,High
01/08/2012,Poor,Repairs,Moderate
02/08/2012,Fair,Routine Maintenance,High
03/08/2012,Fair,Routine Maintenance,High
04/08/2012,Poor,Upgrades,High
05/08/2012,Poor,Routine Maintenance,High
06/08/2012,Poor,Repairs,High
07/08/2012,Poor,Upgrades,Moderate
08/08/2012,Poor,Upgrades,High
09/08/2012,Poor,Routine Maintenance,Moderate
10/08/2012,Fair,Routine Maintenance,Moderate
11/08/2012,Poor,Upgrades,High
12/08/2012,Fair,Repairs,High
13/08/2012,Poor,Routine Maintenance,High
14/08/2012,Fair,Upgrades,High
15/08/2012,Poor,Repairs,High
16/08/2012,Fair,Routine Maintenance,High
17/08/2012,Poor,Upgrades,High
18/08/2012,Poor,Upgrades,High
19/08/2012,Poor,Routine Maintenance,High
20/08/2012,Fair,Repairs,High
21/08/2012,Fair,Repairs,High
22/08/2012,Poor,Upgrades,High
23/08/2012,Poor,Repairs,High
24/08/2012,Poor,Upgrades,High
25/08/2012,Poor,Routine Maintenance,Moderate
26/08/2012,Poor,Repairs,Moderate
27/08/2012,Poor,Routine Maintenance,High
28/08/2012,Fair,Upgrades,High
29/08/2012,Poor,Routine Maintenance,High
30/08/2012,Poor,Repairs,High
31/08/2012,Poor,Routine Maintenance,High
01/09/2012,Poor,Repairs,Moderate
02/09/2012,Fair,Repairs,High
03/09/2012,Poor,Repairs,High
04/09/2012,Fair,Repairs,Moderate
05/09/2012,Poor,Repairs,High
06/09/2012,Poor,Upgrades,High
07/09/2012,Poor,Routine Maintenance,High
08/09/2012,Poor,Upgrades,Moderate
09/09/2012,Poor,Routine Maintenance,High
10/09/2012,Poor,Routine Maintenance,High
11/09/2012,Fair,Routine Maintenance,High
12/09/2012,Poor,Upgrades,High
13/09/2012,Fair,Repairs,High
14/09/2012,Poor,Repairs,High
15/09/2012,Fair,Upgrades,High
16/09/2012,Poor,Repairs,Moderate
17/09/2012,Poor,Routine Maintenance,High
18/09/2012,Poor,Repairs,High
19/09/2012,Poor,Repairs,High
20/09/2012,Fair,Repairs,High
21/09/2012,Fair,Routine Maintenance,High
22/09/2012,Poor,Repairs,Moderate
23/09/2012,Poor,Repairs,High
24/09/2012,Fair,Repairs,High
25/09/2012,Poor,Upgrades,Moderate
26/09/2012,Poor,Upgrades,High
27/09/2012,Poor,Repairs,High
28/09/2012,Poor,Upgrades,High
29/09/2012,Fair,Upgrades,High
30/09/2012,Fair,Routine Maintenance,High
01/10/2012,Poor,Upgrades,High
02/10/2012,Poor,Upgrades,High
03/10/2012,Poor,Repairs,High
04/10/2012,Fair,Routine Maintenance,High
05/10/2012,Fair,Routine Maintenance,Moderate
06/10/2012,Poor,Routine Maintenance,High
07/10/2012,Poor,Upgrades,High
08/10/2012,Poor,Repairs,High
09/10/2012,Poor,Routine Maintenance,High
10/10/2012,Poor,Routine Maintenance,High
11/10/2012,Poor,Upgrades,Moderate
12/10/2012,Poor,Routine Maintenance,High
13/10/2012,Poor,Repairs,High
14/10/2012,Poor,Routine Maintenance,High
15/10/2012,Poor,Repairs,High
16/10/2012,Fair,Repairs,High
17/10/2012,Fair,Repairs,Moderate
18/10/2012,Fair,Upgrades,High
19/10/2012,Poor,Upgrades,High
20/10/2012,Poor,Repairs,Moderate
21/10/2012,Poor,Repairs,High
22/10/2012,Poor,Routine Maintenance,High
23/10/2012,Poor,Routine Maintenance,High
24/10/2012,Poor,Routine Maintenance,High
25/10/2012,Fair,Upgrades,High
26/10/2012,Poor,Routine Maintenance,High
27/10/2012,Poor,Repairs,High
28/10/2012,Poor,Repairs,High
29/10/2012,Poor,Upgrades,Moderate
30/10/2012,Fair,Upgrades,High
31/10/2012,Poor,Routine Maintenance,High
01/11/2012,Poor,Upgrades,High
02/11/2012,Poor,Repairs,High
03/11/2012,Fair,Repairs,High
04/11/2012,Fair,Upgrades,High
05/11/2012,Poor,Repairs,High
06/11/2012,Poor,Upgrades,Moderate
07/11/2012,Poor,Repairs,High
08/11/2012,Fair,Routine Maintenance,High
09/11/2012,Fair,Upgrades,High
10/11/2012,Poor,Upgrades,High
11/11/2012,Poor,Upgrades,High
12/11/2012,Poor,Repairs,High
13/11/2012,Fair,Routine Maintenance,High
14/11/2012,Poor,Upgrades,Moderate
15/11/2012,Fair,Repairs,High
16/11/2012,Poor,Upgrades,High
17/11/2012,Fair,Repairs,High
18/11/2012,Poor,Routine Maintenance,High
19/11/2012,Fair,Repairs,High
20/11/2012,Poor,Repairs,High
21/11/2012,Poor,Upgrades,High
22/11/2012,Fair,Repairs,High
23/11/2012,Poor,Upgrades,High
24/11/2012,Poor,Repairs,Moderate
25/11/2012,Poor,Routine Maintenance,Moderate
26/11/2012,Fair,Repairs,High
27/11/2012,Fair,Upgrades,High
28/11/2012,Poor,Repairs,High
29/11/2012,Fair,Repairs,High
30/11/2012,Poor,Routine Maintenance,High
01/12/2012,Fair,Upgrades,High
02/12/2012,Fair,Routine Maintenance,High
03/12/2012,Poor,Repairs,High
04/12/2012,Fair,Routine Maintenance,Moderate
05/12/2012,Poor,Repairs,Moderate
06/12/2012,Fair,Repairs,High
07/12/2012,Poor,Routine Maintenance,High
08/12/2012,Poor,Routine Maintenance,High
09/12/2012,Poor,Repairs,Moderate
10/12/2012,Poor,Routine Maintenance,High
11/12/2012,Fair,Routine Maintenance,High
12/12/2012,Poor,Repairs,High
13/12/2012,Fair,Upgrades,High
14/12/2012,Poor,Routine Maintenance,High
15/12/2012,Poor,Routine Maintenance,High
16/12/2012,Poor,Upgrades,Moderate
17/12/2012,Poor,Routine Maintenance,Moderate
18/12/2012,Poor,Repairs,High
19/12/2012,Poor,Routine Maintenance,High
20/12/2012,Poor,Repairs,High
21/12/2012,Fair,Upgrades,High
22/12/2012,Fair,Upgrades,Moderate
23/12/2012,Poor,Upgrades,High
24/12/2012,Poor,Routine Maintenance,High
25/12/2012,Poor,Upgrades,High
26/12/2012,Poor,Routine Maintenance,Moderate
27/12/2012,Fair,Routine Maintenance,High
28/12/2012,Poor,Routine Maintenance,Moderate
29/12/2012,Poor,Upgrades,High
30/12/2012,Fair,Upgrades,High
31/12/2012,Poor,Routine Maintenance,Moderate
01/01/2013,Poor,Upgrades,High
02/01/2013,Fair,Routine Maintenance,Moderate
03/01/2013,Poor,Upgrades,High
04/01/2013,Fair,Repairs,High
05/01/2013,Poor,Upgrades,Moderate
06/01/2013,Poor,Upgrades,High
07/01/2013,Poor,Upgrades,High
08/01/2013,Poor,Routine Maintenance,High
09/01/2013,Fair,Routine Maintenance,High
10/01/2013,Fair,Repairs,High
11/01/2013,Fair,Repairs,High
12/01/2013,Fair,Repairs,High
13/01/2013,Fair,Routine Maintenance,High
14/01/2013,Fair,Repairs,Moderate
15/01/2013,Poor,Repairs,High
16/01/2013,Poor,Upgrades,High
17/01/2013,Poor,Repairs,High
18/01/2013,Poor,Upgrades,High
19/01/2013,Fair,Routine Maintenance,High
20/01/2013,Poor,Routine Maintenance,High
21/01/2013,Fair,Upgrades,Moderate
22/01/2013,Fair,Repairs,High
23/01/2013,Poor,Routine Maintenance,Moderate
24/01/2013,Poor,Upgrades,High
25/01/2013,Poor,Routine Maintenance,High
26/01/2013,Fair,Routine Maintenance,High
27/01/2013,Poor,Repairs,High
28/01/2013,Poor,Routine Maintenance,High
29/01/2013,Poor,Upgrades,High
30/01/2013,Fair,Repairs,High
31/01/2013,Poor,Upgrades,Moderate
01/02/2013,Poor,Upgrades,High
02/02/2013,Fair,Upgrades,Moderate
03/02/2013,Fair,Repairs,Moderate
04/02/2013,Poor,Routine Maintenance,High
05/02/2013,Fair,Upgrades,High
06/02/2013,Poor,Routine Maintenance,Moderate
07/02/2013,Fair,Routine Maintenance,High
08/02/2013,Fair,Upgrades,High
09/02/2013,Fair,Routine Maintenance,Moderate
10/02/2013,Fair,Repairs,Moderate
11/02/2013,Poor,Repairs,High
12/02/2013,Poor,Routine Maintenance,High
13/02/2013,Poor,Routine Maintenance,High
14/02/2013,Poor,Repairs,High
15/02/2013,Poor,Routine Maintenance,High
16/02/2013,Poor,Routine Maintenance,High
17/02/2013,Fair,Routine Maintenance,Moderate
18/02/2013,Fair,Routine Maintenance,High
19/02/2013,Poor,Upgrades,High
20/02/2013,Fair,Routine Maintenance,High
21/02/2013,Poor,Repairs,High
22/02/2013,Poor,Upgrades,High
23/02/2013,Fair,Upgrades,High
24/02/2013,Poor,Repairs,High
25/02/2013,Poor,Routine Maintenance,High
26/02/2013,Poor,Upgrades,High
27/02/2013,Poor,Upgrades,High
28/02/2013,Fair,Routine Maintenance,High
01/03/2013,Fair,Routine Maintenance,High
02/03/2013,Poor,Repairs,High
03/03/2013,Fair,Upgrades,High
04/03/2013,Fair,Routine Maintenance,High
05/03/2013,Poor,Routine Maintenance,High
06/03/2013,Poor,Repairs,High
07/03/2013,Poor,Upgrades,High
08/03/2013,Fair,Routine Maintenance,Moderate
09/03/2013,Poor,Repairs,High
10/03/2013,Fair,Upgrades,High
11/03/2013,Poor,Upgrades,High
12/03/2013,Poor,Upgrades,High
13/03/2013,Poor,Upgrades,High
14/03/2013,Poor,Repairs,High
15/03/2013,Poor,Routine Maintenance,Moderate
16/03/2013,Poor,Upgrades,Moderate
17/03/2013,Poor,Upgrades,High
18/03/2013,Poor,Routine Maintenance,High
19/03/2013,Fair,Upgrades,Moderate
20/03/2013,Poor,Upgrades,High
21/03/2013,Poor,Routine Maintenance,High
22/03/2013,Poor,Routine Maintenance,Moderate
23/03/2013,Poor,Upgrades,High
24/03/2013,Poor,Routine Maintenance,High
25/03/2013,Poor,Repairs,High
26/03/2013,Poor,Repairs,High
27/03/2013,Poor,Upgrades,High
28/03/2013,Poor,Upgrades,High
29/03/2013,Poor,Routine Maintenance,High
30/03/2013,Poor,Routine Maintenance,High
31/03/2013,Poor,Upgrades,High
01/04/2013,Poor,Upgrades,High
02/04/2013,Poor,Repairs,High
03/04/2013,Fair,Routine Maintenance,High
04/04/2013,Poor,Upgrades,High
05/04/2013,Poor,Upgrades,Moderate
06/04/2013,Poor,Routine Maintenance,High
07/04/2013,Poor,Routine Maintenance,High
08/04/2013,Poor,Upgrades,Moderate
09/04/2013,Poor,Upgrades,High
10/04/2013,Poor,Upgrades,High
11/04/2013,Fair,Routine Maintenance,Moderate
12/04/2013,Poor,Upgrades,High
13/04/2013,Poor,Upgrades,Moderate
14/04/2013,Poor,Upgrades,High
15/04/2013,Poor,Repairs,High
16/04/2013,Fair,Repairs,High
17/04/2013,Poor,Routine Maintenance,Moderate
18/04/2013,Poor,Upgrades,High
19/04/2013,Poor,Upgrades,High
20/04/2013,Fair,Routine Maintenance,High
21/04/2013,Fair,Routine Maintenance,High
22/04/2013,Poor,Routine Maintenance,High
23/04/2013,Poor,Upgrades,High
24/04/2013,Fair,Repairs,High
25/04/2013,Poor,Routine Maintenance,Moderate
26/04/2013,Fair,Upgrades,High
27/04/2013,Fair,Routine Maintenance,High
28/04/2013,Poor,Upgrades,High
29/04/2013,Fair,Routine Maintenance,High
30/04/2013,Poor,Upgrades,Moderate
01/05/2013,Poor,Routine Maintenance,High
02/05/2013,Fair,Repairs,High
03/05/2013,Fair,Routine Maintenance,Moderate
04/05/2013,Fair,Routine Maintenance,High
05/05/2013,Poor,Repairs,High
06/05/2013,Poor,Routine Maintenance,High
07/05/2013,Poor,Repairs,High
08/05/2013,Poor,Upgrades,High
09/05/2013,Poor,Repairs,High
10/05/2013,Fair,Repairs,High
11/05/2013,Poor,Upgrades,High
12/05/2013,Poor,Repairs,Moderate
13/05/2013,Fair,Repairs,Moderate
14/05/2013,Poor,Upgrades,High
15/05/2013,Poor,Routine Maintenance,Moderate
16/05/2013,Fair,Routine Maintenance,High
17/05/2013,Fair,Repairs,High
18/05/2013,Poor,Routine Maintenance,High
19/05/2013,Poor,Routine Maintenance,High
20/05/2013,Poor,Repairs,High
21/05/2013,Poor,Upgrades,High
22/05/2013,Fair,Routine Maintenance,High
23/05/2013,Poor,Repairs,Moderate
24/05/2013,Poor,Upgrades,High
25/05/2013,Poor,Routine Maintenance,High
26/05/2013,Poor,Upgrades,Moderate
27/05/2013,Fair,Repairs,High
28/05/2013,Fair,Upgrades,High
29/05/2013,Poor,Upgrades,Moderate
30/05/2013,Fair,Repairs,High
31/05/2013,Poor,Routine Maintenance,High
01/06/2013,Fair,Routine Maintenance,High
02/06/2013,Fair,Upgrades,High
03/06/2013,Fair,Upgrades,High
04/06/2013,Fair,Upgrades,High
05/06/2013,Poor,Upgrades,High
06/06/2013,Poor,Routine Maintenance,High
07/06/2013,Poor,Repairs,High
08/06/2013,Poor,Repairs,High
09/06/2013,Poor,Repairs,High
10/06/2013,Poor,Upgrades,High
11/06/2013,Poor,Upgrades,Moderate
12/06/2013,Fair,Repairs,Moderate
13/06/2013,Poor,Routine Maintenance,High
14/06/2013,Poor,Repairs,Moderate
15/06/2013,Fair,Routine Maintenance,High
16/06/2013,Poor,Upgrades,High
17/06/2013,Fair,Repairs,High
18/06/2013,Poor,Repairs,Moderate
19/06/2013,Fair,Upgrades,High
20/06/2013,Fair,Routine Maintenance,Moderate
21/06/2013,Poor,Repairs,High
22/06/2013,Fair,Repairs,High
23/06/2013,Poor,Routine Maintenance,Moderate
24/06/2013,Fair,Repairs,High
25/06/2013,Poor,Repairs,High
26/06/2013,Fair,Upgrades,High
27/06/2013,Poor,Routine Maintenance,High
28/06/2013,Poor,Repairs,High
29/06/2013,Poor,Repairs,High
30/06/2013,Fair,Upgrades,High
01/07/2013,Poor,Repairs,High
02/07/2013,Poor,Upgrades,Moderate
03/07/2013,Poor,Repairs,High
04/07/2013,Poor,Upgrades,High
05/07/2013,Poor,Routine Maintenance,High
06/07/2013,Poor,Routine Maintenance,Moderate
07/07/2013,Poor,Repairs,High
08/07/2013,Poor,Repairs,High
09/07/2013,Fair,Upgrades,High
10/07/2013,Poor,Upgrades,High
11/07/2013,Fair,Routine Maintenance,High
12/07/2013,Fair,Repairs,High
13/07/2013,Poor,Upgrades,High
14/07/2013,Poor,Routine Maintenance,High
15/07/2013,Poor,Routine Maintenance,High
16/07/2013,Poor,Upgrades,High
17/07/2013,Poor,Repairs,High
18/07/2013,Fair,Routine Maintenance,High
19/07/2013,Poor,Upgrades,High
20/07/2013,Poor,Routine Maintenance,Moderate
21/07/2013,Poor,Repairs,High
22/07/2013,Poor,Upgrades,High
23/07/2013,Fair,Repairs,High
24/07/2013,Poor,Repairs,High
25/07/2013,Fair,Routine Maintenance,High
26/07/2013,Poor,Repairs,Moderate
27/07/2013,Poor,Routine Maintenance,High
28/07/2013,Fair,Upgrades,High
29/07/2013,Poor,Upgrades,High
30/07/2013,Fair,Routine Maintenance,Moderate
31/07/2013,Poor,Routine Maintenance,High
01/08/2013,Poor,Routine Maintenance,Moderate
02/08/2013,Poor,Repairs,High
03/08/2013,Poor,Upgrades,High
04/08/2013,Fair,Upgrades,High
05/08/2013,Fair,Repairs,High
06/08/2013,Poor,Routine Maintenance,High
07/08/2013,Fair,Upgrades,High
08/08/2013,Poor,Repairs,High
09/08/2013,Fair,Routine Maintenance,Moderate
10/08/2013,Fair,Upgrades,High
11/08/2013,Poor,Routine Maintenance,High
12/08/2013,Poor,Repairs,High
13/08/2013,Poor,Upgrades,High
14/08/2013,Poor,Routine Maintenance,High
15/08/2013,Fair,Routine Maintenance,High
16/08/2013,Poor,Routine Maintenance,Moderate
17/08/2013,Poor,Repairs,High
18/08/2013,Poor,Routine Maintenance,High
19/08/2013,Poor,Upgrades,Moderate
20/08/2013,Poor,Upgrades,High
21/08/2013,Poor,Routine Maintenance,Moderate
22/08/2013,Fair,Repairs,Moderate
23/08/2013,Poor,Upgrades,Moderate
24/08/2013,Fair,Upgrades,Moderate
25/08/2013,Poor,Upgrades,High
26/08/2013,Poor,Routine Maintenance,Moderate
27/08/2013,Poor,Upgrades,High
28/08/2013,Poor,Routine Maintenance,High
29/08/2013,Poor,Routine Maintenance,High
30/08/2013,Fair,Routine Maintenance,Moderate
31/08/2013,Fair,Routine Maintenance,Moderate
01/09/2013,Poor,Routine Maintenance,High
02/09/2013,Poor,Upgrades,High
03/09/2013,Poor,Routine Maintenance,High
04/09/2013,Fair,Routine Maintenance,High
05/09/2013,Poor,Routine Maintenance,High
06/09/2013,Fair,Routine Maintenance,High
07/09/2013,Poor,Routine Maintenance,High
08/09/2013,Fair,Routine Maintenance,Moderate
09/09/2013,Poor,Upgrades,High
10/09/2013,Fair,Routine Maintenance,Moderate
11/09/2013,Fair,Routine Maintenance,High
12/09/2013,Poor,Upgrades,High
13/09/2013,Poor,Upgrades,High
14/09/2013,Fair,Repairs,High
15/09/2013,Fair,Upgrades,High
16/09/2013,Poor,Upgrades,Moderate
17/09/2013,Fair,Routine Maintenance,High
18/09/2013,Poor,Repairs,Moderate
19/09/2013,Fair,Routine Maintenance,High
20/09/2013,Poor,Repairs,Moderate
21/09/2013,Poor,Routine Maintenance,High
22/09/2013,Poor,Upgrades,High
23/09/2013,Poor,Upgrades,High
24/09/2013,Poor,Repairs,High
25/09/2013,Poor,Routine Maintenance,High
26/09/2013,Fair,Routine Maintenance,Moderate
27/09/2013,Poor,Upgrades,High
28/09/2013,Poor,Upgrades,High
29/09/2013,Poor,Repairs,High
30/09/2013,Poor,Upgrades,High
01/10/2013,Fair,Repairs,Moderate
02/10/2013,Poor,Repairs,High
03/10/2013,Poor,Repairs,High
04/10/2013,Poor,Repairs,High
05/10/2013,Fair,Upgrades,High
06/10/2013,Fair,Repairs,High
07/10/2013,Poor,Upgrades,High
08/10/2013,Poor,Repairs,Moderate
09/10/2013,Poor,Upgrades,High
10/10/2013,Poor,Repairs,High
11/10/2013,Poor,Upgrades,High
12/10/2013,Poor,Routine Maintenance,High
13/10/2013,Poor,Repairs,High
14/10/2013,Poor,Repairs,High
15/10/2013,Fair,Routine Maintenance,High
16/10/2013,Poor,Routine Maintenance,High
17/10/2013,Poor,Repairs,High
18/10/2013,Fair,Upgrades,High
19/10/2013,Fair,Repairs,High
20/10/2013,Poor,Upgrades,High
21/10/2013,Fair,Routine Maintenance,High
22/10/2013,Fair,Upgrades,High
23/10/2013,Poor,Repairs,Moderate
24/10/2013,Poor,Routine Maintenance,High
25/10/2013,Poor,Routine Maintenance,Moderate
26/10/2013,Poor,Repairs,High
27/10/2013,Fair,Repairs,Moderate
28/10/2013,Fair,Routine Maintenance,High
29/10/2013,Poor,Upgrades,High
30/10/2013,Fair,Upgrades,High
31/10/2013,Poor,Upgrades,High
01/11/2013,Poor,Repairs,High
02/11/2013,Poor,Routine Maintenance,Moderate
03/11/2013,Poor,Upgrades,High
04/11/2013,Fair,Routine Maintenance,High
05/11/2013,Poor,Upgrades,Moderate
06/11/2013,Poor,Routine Maintenance,High
07/11/2013,Fair,Repairs,High
08/11/2013,Poor,Repairs,High
09/11/2013,Poor,Repairs,High
10/11/2013,Poor,Upgrades,High
11/11/2013,Poor,Repairs,Moderate
12/11/2013,Fair,Repairs,High
13/11/2013,Poor,Repairs,Moderate
14/11/2013,Poor,Routine Maintenance,High
15/11/2013,Poor,Routine Maintenance,High
16/11/2013,Fair,Routine Maintenance,High
